# Program,Gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total
'CRU','A',1,0,0,1,1,5,9,8,37
'BLA','B',1,1,1,1,8,3,16,4,59
'CRU','A',1,1,1,0,8,10,13,6,58
'BLA','A',0,0,1,0,20,6,17,17,67
'CRU','B',0,0,1,0,5,4,7,11,34
'BLA','A',1,0,1,1,9,6,12,3,51
'BLA','A',0,0,0,0,8,5,8,6,27
'CRU','B',0,0,1,0,7,7,6,0,27
'BLA','A',1,0,0,1,3,7,7,4,35
'BLA','A',1,1,0,0,6,11,14,10,55
'CRU','A',1,1,1,0,13,9,12,0,55
'CRU','A',0,0,0,0,13,4,19,1,37
'BLA','B',1,1,1,0,10,13,9,2,55
'BLA','B',1,0,0,1,5,17,11,0,47
'BLA','A',0,1,1,0,16,7,7,11,55
'BLA','B',1,1,0,1,19,7,7,4,58
'CRU','B',1,0,1,1,23,7,13,10,74
'BLA','A',1,0,1,1,18,22,3,0,64
'BLA','A',0,0,1,0,24,4,1,16,52
'BLA','A',1,1,1,0,17,2,17,13,70
'BLA','A',0,1,1,0,14,8,20,8,64
'CRU','A',0,0,0,1,10,13,2,3,35
'CRU','B',1,1,1,1,15,12,11,4,70
'BLA','A',0,0,1,1,15,19,0,1,49
'CRU','B',0,0,0,0,4,13,6,2,25
'BLA','B',0,1,0,0,12,8,13,8,48
'BLA','B',0,0,0,1,7,9,7,4,34
'CRU','B',1,1,1,1,19,4,8,8,67
'BLA','A',0,1,0,1,7,10,7,8,46
'CRU','B',1,1,1,1,12,6,16,4,66
'BLA','A',0,1,1,1,10,5,0,5,41
'BLA','A',1,0,1,1,15,9,6,13,64
'CRU','A',0,0,0,1,18,13,15,4,57
'CRU','A',1,1,1,1,16,21,15,13,93
'BLA','A',1,0,0,1,11,17,11,10,63
'CRU','A',1,0,1,1,3,11,11,10,56
'CRU','A',0,1,1,1,7,9,5,0,42
'CRU','B',1,1,1,0,6,7,11,8,53
'CRU','B',0,0,1,1,22,4,14,2,56
'CRU','A',1,0,0,1,13,10,3,7,47
'CRU','A',0,1,1,1,9,8,17,11,66
'BLA','A',1,1,0,0,7,5,20,6,52
'CRU','A',0,1,1,0,20,7,18,15,74
'BLA','A',0,1,0,1,13,16,9,3,55
'CRU','B',1,0,0,0,19,9,17,13,65
'CRU','B',0,0,1,0,11,7,6,6,37
'BLA','A',1,1,1,0,6,4,15,11,57
'BLA','A',1,0,1,1,18,12,10,10,71
'BLA','B',1,1,0,1,7,13,20,7,68
'CRU','A',0,0,0,0,17,8,0,8,33
'BLA','A',0,1,1,0,7,16,15,10,62
'CRU','A',1,1,0,1,6,13,14,13,67
'CRU','B',0,0,0,0,6,14,8,6,34
'BLA','A',0,0,0,0,20,4,1,3,28
'CRU','B',0,1,0,0,11,9,2,11,40
'CRU','A',0,1,0,0,10,13,13,19,62
'BLA','A',0,0,0,1,11,17,5,16,56
'CRU','B',1,1,1,0,7,11,5,15,59
'BLA','B',0,0,1,1,9,5,4,6,38
'CRU','B',1,1,0,1,11,9,5,8,54
'CRU','A',1,1,1,1,11,6,5,8,58
'BLA','B',1,0,1,0,21,19,2,4,60
'BLA','B',1,1,0,0,9,24,7,10,64
'BLA','A',0,1,0,0,7,8,7,0,29
'BLA','B',0,0,1,1,21,3,11,4,53
'CRU','B',0,1,0,0,2,15,14,8,46
'BLA','A',0,0,0,0,6,8,16,3,33
'BLA','A',0,1,0,0,11,6,10,4,38
'CRU','B',0,0,1,0,16,5,13,20,61
'BLA','A',0,0,0,0,23,6,12,4,45
'CRU','B',0,1,1,0,18,5,6,7,50
'BLA','B',0,0,0,0,15,8,5,12,40
'CRU','A',1,1,1,1,8,7,17,21,81
'CRU','B',0,0,1,1,15,3,3,2,37
'BLA','A',0,0,0,0,12,4,17,3,36
'CRU','B',1,1,0,0,17,11,16,4,62
'BLA','B',0,0,0,1,15,21,4,17,64
'BLA','A',1,1,1,0,6,3,18,18,66
'CRU','B',1,1,1,1,20,22,6,18,94
'BLA','A',1,1,1,0,9,22,16,13,81
'BLA','A',1,1,1,0,2,11,15,22,71
'BLA','B',1,1,0,1,13,6,16,3,59
'BLA','B',1,1,1,1,19,12,12,10,81
'BLA','A',0,1,0,0,9,22,24,13,75
'BLA','B',0,0,1,0,17,12,2,8,46
'BLA','B',1,0,0,1,4,3,19,5,45
'BLA','B',1,1,1,0,15,14,11,11,72
'BLA','A',0,0,1,1,3,7,13,6,43
'BLA','A',0,0,0,0,19,13,14,7,53
'CRU','A',1,1,1,1,17,10,13,1,69
'CRU','A',1,1,1,1,15,16,14,14,87
'BLA','A',0,1,1,1,7,3,23,13,67
'BLA','A',1,1,1,1,13,16,13,5,75
'CRU','B',1,1,1,1,12,1,5,8,54
'BLA','A',1,1,0,0,10,1,9,13,47
'CRU','A',0,1,0,1,6,14,15,10,59
'CRU','A',1,1,1,0,14,8,16,9,68
'BLA','A',1,1,1,1,14,12,11,18,83
'CRU','B',0,1,1,1,19,10,16,10,76
'CRU','A',0,0,0,0,19,4,7,6,36
'CRU','B',0,1,1,0,21,11,10,5,61
'CRU','B',0,1,1,1,17,5,17,1,61
'CRU','A',1,0,1,0,21,23,15,15,88
'CRU','A',0,0,1,1,18,20,18,10,80
'CRU','B',0,0,0,0,8,3,11,0,22
'CRU','A',1,1,1,0,1,8,14,10,54
'BLA','A',0,0,0,1,16,7,5,2,37
'BLA','A',0,0,0,1,12,5,2,4,30
'BLA','B',0,1,0,0,18,16,8,9,58
'BLA','A',1,0,0,1,6,12,11,12,55
'CRU','B',1,1,0,1,4,2,13,8,48
'BLA','B',1,1,0,0,11,9,14,2,50
'BLA','B',1,1,0,1,15,2,9,8,55
'CRU','B',1,1,0,0,11,10,2,9,46
'BLA','A',1,1,1,1,17,6,15,19,85
'CRU','A',0,0,1,0,18,0,2,5,32
'BLA','A',0,1,0,0,15,3,10,14,49
'CRU','B',1,0,1,0,2,13,14,8,51
'CRU','B',1,1,0,0,4,7,11,5,41
'BLA','A',1,0,0,0,10,6,16,11,50
'CRU','B',1,0,1,0,15,11,19,12,71
'CRU','B',0,1,0,1,18,22,19,7,80
'BLA','A',0,1,1,1,9,3,10,2,45
'BLA','A',0,0,1,1,4,12,1,11,42
'CRU','B',1,0,1,1,11,10,20,5,67
'BLA','B',1,1,1,0,9,18,14,6,68
'CRU','B',0,1,0,1,14,6,6,10,50
'BLA','A',0,1,0,0,8,0,15,1,31
'BLA','B',0,1,0,1,9,17,15,6,61
'CRU','B',0,1,1,0,4,11,9,4,42
'CRU','B',1,1,1,0,14,7,11,10,63
'CRU','B',0,0,0,1,20,12,3,10,52
'CRU','B',1,1,0,1,15,9,17,1,63
'CRU','B',1,1,1,0,12,13,8,6,60
'CRU','B',1,1,1,0,5,10,15,7,58
'BLA','A',0,0,1,1,11,6,7,0,38
'CRU','B',0,1,0,0,24,12,5,6,54
'CRU','A',0,0,1,0,12,19,22,4,64
'CRU','A',1,0,0,0,9,11,15,20,62
'BLA','A',0,0,0,0,9,21,14,4,48
'CRU','B',0,0,1,1,8,9,0,4,35
'CRU','B',1,1,1,0,0,11,11,6,49
'BLA','A',0,1,0,0,13,6,7,7,40
'BLA','A',0,1,0,1,7,3,17,12,53
'CRU','B',1,0,1,1,3,3,9,4,40
'BLA','A',1,0,1,0,14,13,18,11,70
'CRU','B',1,0,1,0,9,3,7,9,42
'CRU','B',1,1,1,1,14,7,8,6,63
'BLA','B',1,1,0,0,13,9,5,1,42
'BLA','A',1,1,1,1,13,12,9,11,73
'BLA','B',0,0,1,1,12,10,11,5,52
'CRU','A',0,0,0,1,13,0,12,12,44
'BLA','A',1,0,1,0,17,12,13,4,60
'CRU','B',0,0,0,0,6,12,9,3,30
'CRU','B',1,0,0,0,19,15,13,7,61
'BLA','A',1,0,1,0,11,13,21,9,68
'BLA','A',0,0,0,1,8,8,6,12,41
'BLA','B',1,0,1,1,13,9,11,10,64
'CRU','A',1,0,1,1,19,7,9,19,75
'CRU','B',0,1,0,1,11,10,4,3,42
'CRU','B',0,0,1,1,9,0,8,6,37
'CRU','B',0,0,1,0,8,4,15,0,34
'BLA','A',0,1,0,0,6,9,12,7,41
'BLA','A',0,1,1,0,16,16,0,13,59
'CRU','A',0,0,1,1,9,5,21,16,65
'BLA','A',1,1,1,1,12,16,13,6,75
'BLA','A',0,1,0,0,22,13,6,3,51
'BLA','A',1,0,1,1,8,14,11,0,54
'CRU','B',0,0,0,1,15,8,4,3,37
'BLA','A',1,1,1,1,10,13,15,10,76
'BLA','A',0,1,1,1,16,24,14,10,85
'BLA','A',1,1,1,0,17,6,19,6,69
'CRU','B',1,0,0,1,14,9,10,8,55
'BLA','B',1,0,0,0,13,16,13,3,52
